,Date,Salesperson,Customer Name,Car Make,Car Model,Car Year,Sale Price,Commission Rate,Commission Earned
0,2022-08-01,Monica Moore MD,Mary Butler,Nissan,Altima,2018,15983,0.070495227704354,1126.73
1,2023-03-15,Roberto Rose,Richard Pierce,Nissan,F-150,2016,38474,0.1344388368886588,5172.4
2,2023-04-29,Ashley Ramos,Sandra Moore,Ford,Civic,2016,33340,0.1145359215866074,3818.63
3,2022-09-04,Patrick Harris,Johnny Scott,Ford,Altima,2013,41937,0.0921907218120205,3866.2
4,2022-06-16,Eric Lopez,Vanessa Jones,Honda,Silverado,2022,20256,0.1134897925283973,2298.85
5,2022-12-18,Terry Perkins MD,John Olsen,Ford,Altima,2015,14769,0.0772469351075994,1140.86
6,2022-06-12,Ashley Brown,Tyler Lawson,Honda,F-150,2013,41397,0.1427801204620234,5910.67
7,2022-06-20,Norma Watkins,Michael Bond,Ford,Altima,2015,46233,0.071623757918222,3311.38
8,2022-09-02,Scott Parker,Stephanie Smith,Ford,Corolla,2021,27337,0.0995036506668146,2720.13
9,2023-04-06,Andrew Smith,Ashley Moreno DDS,Ford,Civic,2018,16309,0.1499257819619804,2445.14
10,2023-03-12,Harold Nelson,Isaac Patton,Honda,Silverado,2021,41259,0.0925411596237327,3818.16
11,2023-01-29,Richard Richardson,Justin Gray,Toyota,Silverado,2022,48224,0.0905921461126157,4368.72
12,2022-05-29,Mia Acosta,Rebecca Best,Ford,Altima,2017,36409,0.122348852294727,4454.6
13,2022-08-12,Lisa Campbell,Lisa Anderson,Toyota,F-150,2011,29628,0.1123262938025248,3328.0
14,2023-04-06,Carrie Howard,Rodney Black,Chevrolet,Altima,2021,10313,0.1038748946271798,1071.26
15,2022-12-21,James Velasquez,Natalie Thompson,Honda,Corolla,2016,36607,0.0552509783356084,2022.57
16,2022-08-12,Kristin Holmes,Michael Hill,Nissan,Altima,2010,39916,0.0520077745192027,2075.94
17,2022-08-23,Amy Solomon,Taylor Moore,Nissan,Silverado,2018,18482,0.086185323746948,1592.88
18,2022-10-18,William Williams,Jordan Taylor,Toyota,Civic,2013,17158,0.1272277957944463,2182.97
19,2023-03-09,Patricia Reynolds,Alison Walker,Ford,Altima,2014,28796,0.0934512093403834,2691.02
20,2022-09-28,Michelle Gonzalez,Juan Davies,Ford,Corolla,2014,24128,0.084780882119481,2045.59
21,2022-12-20,Jennifer Morris,Kristin Robinson,Toyota,Civic,2011,36895,0.1282881088862146,4733.19
22,2022-07-26,Jeremiah Thompson,Clifford Evans,Nissan,Altima,2013,16797,0.1442373310228432,2422.75
23,2022-07-18,Matthew White,Nancy Martinez,Chevrolet,Altima,2020,30184,0.13699119341719,4134.94
24,2022-12-19,Jason Riley,Ruben Gomez,Nissan,Civic,2010,41587,0.0844044075014132,3510.13
